Airline,PleasureTrip,Korean,NoTransport,Airfare,FrequentFlightDestination1,FrequentFlightDestination2,FrequentFlightDestination3,FrequentFlightDestination4,FrequentFlightDestination5,FrequentFlightDestination6,FrequentFlightDestination7,FlyingCompanion,Age,Airport
1,0,1,1,80,1,0,0,0,0,0,0,0,0,1
1,1,1,1,41,1,0,0,0,0,0,0,4,0,1
1,1,1,2,49.83,0,1,0,0,0,0,0,2,0,1
1,0,1,1,26.43,0,0,0,0,1,0,0,2,0,1
1,0,1,1,40,0,1,0,0,0,0,0,0,0,1
1,0,1,1,34,0,1,0,0,0,0,0,1,0,1
1,0,1,1,34,0,1,0,0,0,0,0,1,0,1
1,1,1,1,56,0,0,0,1,0,0,0,1,1,1
3,1,1,2,34,1,0,0,0,0,0,0,1,0,1
1,1,1,2,60.79,1,0,0,0,0,0,0,1,1,1
1,1,1,2,54,1,0,0,0,0,0,0,2,0,1
4,1,1,1,80,1,0,0,0,0,0,0,1,0,1
1,0,0,1,37,0,1,0,1,0,0,0,1,0,1
3,1,1,1,40,1,0,0,0,0,0,0,1,0,1
2,0,1,1,27.12,0,0,1,0,0,0,0,2,1,1
3,1,1,2,40,0,0,0,0,1,0,0,2,0,1
3,1,1,2,29,0,0,0,0,1,0,0,1,0,1
3,1,1,2,38,0,0,1,0,0,0,0,5,0,1
3,1,1,1,70,1,0,0,0,0,0,0,5,0,1
3,1,1,1,38,1,0,0,0,0,0,0,5,0,1
3,1,1,1,70,1,0,0,0,0,0,0,6,1,1
3,1,0,1,44.57,0,0,1,0,0,0,0,3,0,1
3,1,1,1,44.57,1,0,0,0,0,0,0,3,0,1
3,1,1,1,48,0,0,0,1,0,0,0,2,0,1
4,1,1,1,53,0,0,0,0,1,0,0,2,0,1
4,0,0,3,39,0,0,0,0,0,1,0,0,0,1
1,1,1,2,28,0,1,0,0,1,0,0,3,1,1
1,0,1,1,49.83,0,0,0,0,1,0,0,1,0,1
3,1,1,2,44.57,1,0,0,0,0,0,0,2,0,1
4,1,1,1,43,1,0,0,0,0,0,0,4,0,1
3,1,1,1,48,1,0,0,0,0,0,0,2,0,1
1,0,1,1,60.79,0,1,0,0,0,0,0,1,0,1
1,1,1,2,140,0,0,0,0,1,0,0,2,0,1
1,0,1,1,110,0,0,0,0,0,1,0,0,0,1
3,1,1,2,40,1,0,0,0,0,0,0,2,0,1
1,1,0,1,70,1,0,0,0,0,0,0,4,0,1
1,1,1,2,80,1,0,0,0,0,0,0,4,0,1
4,1,1,2,108,0,0,0,0,1,0,0,2,0,1
1,1,1,1,100,1,0,0,0,0,0,0,2,0,1
2,1,1,1,100,1,0,0,0,1,1,0,0,0,1
4,1,1,2,108,0,0,0,0,1,0,0,2,0,1
1,0,1,1,59,1,0,0,0,0,0,0,2,0,1
1,0,1,2,40,1,1,1,1,1,0,0,0,0,1
1,0,0,2,60.79,1,0,0,0,0,0,0,1,1,1
3,1,1,1,30,0,0,0,0,0,1,0,4,0,1
1,1,1,2,48,1,0,0,0,0,0,0,2,0,1
1,1,1,1,54,0,0,1,0,0,0,0,2,0,1
1,0,1,1,60,1,0,0,0,0,0,0,5,0,1
2,0,0,1,52,1,0,0,0,0,0,0,1,0,1
3,1,1,1,45,1,0,0,0,0,0,0,9,0,1
3,1,1,2,45,1,0,0,0,0,0,0,9,1,1
3,1,1,2,50,1,1,0,0,0,0,0,9,1,1
3,1,0,1,44.57,1,0,0,0,0,0,0,4,0,1
3,1,1,1,44.57,1,0,0,0,0,0,0,4,0,1
2,1,1,1,48.34,1,0,0,0,0,0,0,2,1,1
2,1,1,1,78,1,0,0,0,0,0,0,8,1,1
3,1,1,2,17,0,0,1,0,0,0,0,1,0,1
1,1,1,2,64,1,0,0,0,0,0,0,2,0,1
2,1,0,1,31,0,1,0,0,0,0,0,1,0,1
3,1,1,2,44.57,1,0,1,0,0,0,0,1,0,1
2,0,0,1,75,1,0,0,0,0,0,0,2,1,1
4,1,1,2,20,1,0,0,0,0,0,0,3,0,1
1,0,1,2,67,0,0,1,0,0,0,0,1,0,1
4,1,0,2,19,0,0,0,0,0,1,0,1,0,1
3,1,1,2,38,1,0,0,0,0,0,0,5,0,1
4,1,0,1,30,1,0,0,0,0,0,0,1,0,1
1,1,1,1,60.79,1,0,0,0,0,0,0,2,0,1
1,1,1,1,26.43,0,0,0,0,1,0,0,3,0,1
2,1,1,1,60,0,0,1,0,0,1,0,1,0,1
3,1,1,1,44.57,1,0,0,0,0,0,0,2,0,1
2,0,1,1,27.12,0,0,1,0,0,0,0,2,0,1
3,1,1,1,24,0,1,1,0,0,0,0,1,0,1
1,0,0,3,49.83,0,1,0,0,0,0,0,1,0,1
2,0,1,3,48.34,0,1,0,0,0,0,0,1,0,1
3,0,0,3,24,1,0,0,0,0,0,0,1,0,1
3,1,1,2,40,0,0,0,1,0,0,0,1,0,1
3,1,1,1,40,1,0,0,0,0,0,0,0,0,1
2,1,1,2,29.12,1,0,0,0,0,0,0,3,0,1
4,0,1,3,120,0,0,0,0,0,1,0,10,0,1
1,1,1,3,65,0,1,0,0,0,0,0,1,0,1
2,1,1,1,23,1,0,0,0,0,0,0,1,1,1
2,0,1,1,54,0,1,0,0,0,0,0,0,0,1
1,0,1,1,20,0,1,0,1,0,0,0,0,0,1
4,1,1,2,40.4,1,0,0,0,0,0,0,3,0,1
1,1,1,1,60.79,0,0,0,0,0,1,0,10,0,1
3,1,1,1,60,1,0,0,0,0,0,0,3,0,1
2,1,1,2,75,1,0,0,0,0,0,0,2,0,1
4,1,1,3,61,1,0,0,0,0,0,0,1,0,1
4,1,1,3,61,1,0,0,0,0,0,0,1,0,1
4,1,1,3,30,1,0,0,0,0,0,0,5,0,1
4,1,1,3,41,1,0,0,0,0,0,0,5,0,1
2,0,1,2,48.34,0,1,0,0,0,0,0,1,0,1
2,1,1,2,75,1,0,0,0,0,0,0,2,0,1
4,1,1,1,40.4,1,0,0,0,0,0,0,2,0,1
1,1,1,1,60.79,1,0,0,0,0,0,0,2,1,1
4,0,1,1,27,1,0,0,0,0,0,0,0,1,1
4,1,1,2,3,1,0,0,0,0,0,0,26,1,1
2,1,1,2,48.34,1,0,0,0,0,0,0,4,1,1
1,1,1,1,60.79,1,0,0,0,0,0,0,2,1,1
1,1,1,1,60.79,1,0,0,0,0,0,0,2,1,1
4,1,1,2,3,1,0,0,0,0,0,0,26,1,1
3,1,1,1,60,1,0,0,0,0,0,0,4,0,1
3,1,1,1,53,0,1,0,0,0,0,0,4,0,1
3,1,1,1,50,1,0,0,0,0,0,0,1,0,1
3,1,1,1,23,0,0,0,0,1,0,0,2,0,1
3,1,1,1,30,1,0,0,0,0,0,0,3,0,1
2,1,1,1,29.12,0,0,0,0,0,0,1,12,0,1
1,0,1,2,100,0,1,0,0,0,0,0,1,0,1
4,0,1,3,60,1,0,0,0,0,0,0,1,0,1
3,1,1,2,30,0,0,1,0,0,0,0,3,0,1
1,1,1,1,62,1,0,0,1,0,0,0,1,0,1
3,1,1,2,44.57,0,0,1,0,0,0,0,3,0,1
1,0,1,2,150,0,0,0,1,0,0,0,0,0,1
2,1,1,1,27.12,0,0,1,0,0,0,0,2,0,1
2,1,1,1,41,0,0,1,0,0,0,0,4,0,1
1,0,1,1,120,0,1,1,0,0,0,0,2,0,1
3,1,1,2,35,1,1,0,0,0,0,0,1,0,1
1,1,1,2,50,1,0,0,0,0,0,0,3,0,1
2,0,1,1,55,1,0,0,0,0,0,0,0,0,1
4,0,1,1,53.17,0,1,0,0,0,0,0,1,1,1
4,0,1,1,53.17,0,1,0,0,0,0,0,1,1,1
1,1,1,1,26.43,0,1,0,0,0,0,0,2,1,1
4,1,1,1,71.33,1,0,0,0,0,0,0,2,1,1
1,1,1,1,134.57,0,0,0,0,1,0,0,2,0,1
2,1,1,1,29.12,0,0,0,0,0,0,1,2,0,1
2,1,1,1,29.12,0,0,0,0,0,0,1,2,0,1
4,1,1,1,40.4,1,0,0,0,0,0,0,2,0,1
1,1,1,3,60.79,0,0,0,0,0,0,1,2,0,1
2,1,1,1,29.12,1,0,0,0,0,0,0,4,0,1
3,0,0,2,65,1,0,0,0,0,0,0,0,0,1
4,1,1,2,56,1,0,0,1,1,0,0,2,0,1
1,0,0,1,49.83,1,1,1,0,0,0,0,2,0,1
3,1,1,1,40,0,0,1,0,0,0,0,1,0,1
1,1,1,1,60.79,1,0,0,0,0,0,0,2,1,1
1,0,1,2,222,1,0,0,0,0,0,0,2,0,1
2,0,1,4,57,1,0,0,0,0,0,0,7,0,1
2,1,0,1,14,0,0,0,0,0,1,0,8,0,1
3,1,1,1,64,0,0,0,0,1,0,0,1,0,1
3,1,1,1,30,1,0,0,0,0,0,0,1,0,1
2,0,0,2,29.12,1,0,0,0,0,0,0,1,0,1
3,1,0,1,50,1,0,0,0,0,0,0,2,0,1
4,1,0,2,30,1,0,0,0,0,0,0,2,0,1
4,1,0,1,30,1,0,0,0,0,0,0,2,0,1
2,0,0,1,50,1,0,0,0,0,0,0,0,0,1
1,0,1,2,89,1,0,0,0,0,0,0,0,0,1
1,1,1,1,49.83,0,0,0,0,0,0,1,2,1,1
2,1,1,2,29.12,1,0,0,0,0,0,0,2,0,1
2,1,1,1,29.12,1,0,0,0,0,0,0,2,0,1
4,1,0,1,50,0,0,0,1,0,0,0,1,0,1
1,0,1,1,60,0,0,0,0,1,0,0,1,0,1
1,1,1,1,60,1,0,0,0,0,0,0,0,0,1
4,1,0,1,50,1,0,0,0,0,0,0,4,0,1
3,1,1,2,44.57,1,0,0,0,0,0,0,2,0,1
2,1,1,1,70,1,0,0,0,0,0,0,4,1,1
3,1,0,2,50,0,0,0,0,1,0,0,3,1,1
2,0,1,1,50,0,0,1,0,0,0,0,0,1,1
2,0,0,1,76,1,0,0,0,0,0,0,2,0,1
2,0,1,2,30,0,1,0,0,0,0,0,1,0,1
2,1,1,1,36,1,0,0,0,0,0,0,2,0,1
3,1,1,1,40,1,0,0,0,0,0,0,1,0,1
3,1,1,2,31,0,0,0,1,0,0,0,1,0,1
3,1,0,1,31,1,0,0,0,0,0,0,2,0,1
1,1,0,2,260,0,0,1,0,0,0,0,2,1,1
2,1,1,2,50,1,0,0,0,0,0,0,1,1,1
1,1,1,1,50,1,0,1,0,0,0,0,3,0,1
1,1,0,2,45,1,0,0,0,0,0,0,2,0,1
1,0,1,1,45,0,1,0,0,0,0,0,0,0,1
3,1,1,2,56,0,0,0,0,0,1,0,1,0,1
1,1,1,2,28,0,1,0,0,0,0,0,2,0,1
1,1,1,2,60.79,1,0,0,0,0,0,0,2,0,1
4,1,1,2,53,0,0,0,0,1,0,0,1,0,1
3,1,1,2,56,0,0,1,0,0,0,0,2,0,1
3,1,1,2,58,1,0,0,0,0,0,0,2,0,1
2,0,1,1,29.12,1,0,0,0,0,0,0,0,0,1
4,1,1,2,53,0,0,0,0,1,0,0,0,0,1
1,1,1,1,69,1,0,0,0,0,0,0,0,0,1
1,1,1,2,28,0,1,0,0,0,0,0,2,1,1
1,1,1,2,60.79,1,0,0,0,0,0,0,2,1,1
1,0,1,1,82,1,0,0,0,0,0,0,0,1,1
3,1,1,2,58,1,0,0,0,0,0,0,2,1,1
3,1,1,2,50,1,0,0,0,0,0,0,3,1,1
2,1,1,1,30,1,0,0,0,0,0,0,1,0,1
1,1,1,1,50,1,0,0,0,0,0,0,6,1,1
2,1,1,1,48.34,0,1,0,0,0,0,0,1,1,1
2,1,1,1,78,1,0,0,0,0,0,0,8,0,1
1,1,0,2,70,1,0,0,0,0,0,0,2,0,1
4,1,1,2,50,1,0,0,0,0,0,0,1,0,1
2,1,1,2,66,0,1,0,0,0,0,0,1,1,1
1,1,1,2,45,1,0,0,0,0,0,0,2,0,1
4,1,1,1,50,1,0,0,0,0,0,0,2,0,1
4,1,1,1,20,0,0,0,0,1,0,0,3,0,1
1,1,1,1,60.79,0,0,1,0,0,0,0,1,1,1
2,0,1,2,45,1,0,0,0,0,0,0,1,0,1
4,1,1,2,50,1,0,0,0,0,0,0,1,0,1
1,1,0,1,50,0,0,0,0,0,1,0,0,0,1
4,1,0,2,27,0,1,0,0,0,0,0,0,0,1
1,0,0,1,56,1,0,0,0,0,0,0,1,0,1
3,0,1,1,40,0,0,0,0,0,1,0,3,0,1
4,1,1,2,35,1,0,0,0,0,0,0,2,0,1
4,1,1,2,40.4,1,0,0,0,0,0,0,12,1,1
3,1,1,1,11,1,0,1,0,0,0,0,3,0,1
1,1,1,1,60.79,1,0,0,0,0,0,0,11,1,1
1,1,1,1,57,0,0,0,0,0,1,0,0,0,1
4,1,1,1,40.4,1,0,0,0,0,0,0,3,0,1
2,1,1,1,52,0,0,1,0,0,0,0,10,0,1
1,1,1,1,26.43,0,0,1,0,0,0,0,2,0,1
2,1,1,2,100,1,0,0,0,0,0,0,3,0,1
1,1,1,1,60.79,1,0,0,0,0,0,0,2,0,1
2,1,0,1,52,0,1,0,0,0,0,0,1,0,1
1,1,1,1,50,1,1,0,0,0,0,0,2,1,1
2,0,1,2,30,0,0,1,0,0,0,0,1,0,1
4,0,1,1,53.17,0,1,0,0,0,0,0,1,0,1
1,1,1,2,36,0,0,1,0,0,0,0,1,0,1
2,1,1,2,29.12,1,0,0,0,0,0,0,2,0,1
2,1,1,1,40,1,0,0,0,0,0,0,4,0,1
2,1,1,1,48.34,1,0,0,0,0,0,0,6,1,1
4,1,1,1,50,1,0,0,0,0,0,0,4,1,1
1,1,1,1,60.79,1,0,0,0,0,0,0,3,0,1
4,1,1,1,50,1,0,0,0,0,0,0,4,1,1
2,1,1,1,48.34,1,0,0,0,0,0,0,4,1,1
4,1,1,3,20,1,1,1,0,0,0,0,3,0,1
4,0,1,1,34,0,1,1,0,0,0,0,2,0,1
2,1,1,1,40,1,0,0,0,0,0,0,5,0,1
2,0,1,2,48.34,0,0,0,0,0,0,1,0,0,1
2,0,1,1,27.12,0,0,0,0,0,0,1,0,0,1
1,1,1,1,134.57,1,0,0,0,0,0,0,2,0,1
2,1,1,1,29.12,1,0,0,0,0,0,0,4,0,1
