Airline,PleasureTrip,Korean,NoTransport,Airfare,FrequentFlightDestination1,FrequentFlightDestination2,FrequentFlightDestination3,FrequentFlightDestination4,FrequentFlightDestination5,FrequentFlightDestination6,FrequentFlightDestination7,FlyingCompanion,Age,Airport
3,1,1,1,70,1,0,0,0,0,0,0,7,0,1
2,1,0,1,70,0,0,1,0,0,0,0,1,0,0
2,1,1,1,70,0,0,1,0,0,0,0,0,0,0
3,1,1,1,23,0,0,1,0,0,0,0,1,1,0
4,0,0,2,67,0,1,0,0,0,0,0,2,0,0
2,0,1,1,30,0,1,0,0,0,0,0,1,0,0
4,0,0,1,30,0,1,0,0,0,0,0,0,0,0
4,0,1,1,89,0,1,0,0,0,0,0,7,0,0
4,1,0,1,55.25,0,0,1,0,0,0,0,1,0,0
4,1,0,1,86,1,1,0,0,0,0,0,2,0,0
2,0,1,1,36.22,0,0,1,0,0,0,0,0,1,0
4,0,0,1,87,0,1,1,0,0,0,0,0,0,0
1,0,0,1,70,0,0,0,0,0,1,0,1,0,0
4,0,1,1,50,0,1,0,0,0,0,0,0,1,0
4,1,0,1,24,0,1,0,0,0,0,0,1,0,0
4,1,1,1,20,0,0,1,0,0,0,0,1,1,0
4,1,1,1,20,0,1,0,0,0,0,0,1,1,0
2,1,1,1,36.22,1,0,0,0,0,0,0,4,0,0
1,1,1,1,40,0,0,1,0,0,0,0,1,1,0
2,0,0,1,35,1,1,1,0,0,0,0,4,1,0
2,0,1,1,52.93,0,1,0,0,0,0,0,1,0,0
2,1,1,1,52.93,0,1,0,0,0,0,0,0,0,0
1,1,0,1,37,1,0,0,0,0,0,0,4,0,0
2,0,1,1,50,1,0,0,0,0,0,0,0,1,0
2,1,1,1,50,0,0,1,0,0,0,0,0,0,0
2,1,1,1,50,0,0,1,0,0,0,0,1,0,0
2,0,1,1,70,0,0,1,0,0,0,0,1,0,0
2,1,0,1,35,0,0,1,0,0,0,0,2,0,0
1,0,1,1,33.48,0,0,0,0,0,1,0,2,0,0
1,0,0,1,30,0,0,1,0,1,0,0,34,1,0
2,1,0,1,36.22,1,0,0,0,0,0,0,2,0,0
2,0,0,1,90,0,0,1,0,0,0,0,1,0,0
2,1,1,1,30,0,0,1,0,0,0,0,0,0,0
2,0,1,1,40,0,0,1,0,0,0,0,1,0,0
4,0,1,2,78,0,1,0,0,0,0,0,4,0,0
2,1,0,1,40,0,0,0,1,0,0,0,1,0,0
2,0,1,1,42,0,1,0,0,0,0,0,1,0,0
2,0,1,1,42,0,1,0,0,0,0,0,1,0,0
1,0,1,1,33.48,0,0,0,1,0,0,0,0,0,0
1,0,1,1,48.05,0,1,0,0,1,0,0,0,0,0
1,1,1,1,33.48,0,0,1,0,0,0,0,1,0,0
2,0,1,1,40,0,1,0,0,0,0,0,1,0,0
2,1,1,2,36.22,0,0,1,0,0,0,0,1,1,0
2,1,1,2,64,0,0,1,0,0,0,0,0,0,0
4,0,1,1,26,0,1,0,0,0,0,0,1,0,0
1,0,1,1,58,0,0,1,0,0,0,0,28,0,0
2,1,1,1,36.22,1,0,0,0,0,0,0,11,0,0
1,0,0,1,33.48,0,1,1,0,0,0,0,2,1,0
1,0,1,1,100,0,1,0,1,0,0,0,1,1,0
3,1,1,1,30,1,0,0,0,0,0,0,3,0,0
1,0,1,1,50,1,0,0,0,0,0,0,0,0,0
2,1,0,1,34,0,1,0,0,0,0,0,1,0,0
4,0,1,1,55.25,0,1,0,0,0,0,0,8,0,0
2,0,1,1,30,0,1,0,0,0,0,0,1,1,0
3,1,1,1,30,0,1,0,0,0,0,0,3,1,0
4,0,1,1,60,0,0,1,0,0,0,0,1,1,0
1,1,1,1,45.9,0,1,0,0,0,0,0,1,1,0
4,1,1,1,35,1,0,0,0,0,0,0,2,0,0
4,0,0,1,55.25,0,1,0,0,0,0,0,7,0,0
4,1,1,1,35,1,0,0,0,0,0,0,2,0,0
4,0,0,1,53,0,0,1,0,0,0,0,1,0,0
1,0,1,1,40,0,0,1,0,0,0,0,1,0,0
4,1,0,1,11,1,0,0,0,0,0,0,4,1,0
1,1,0,1,50,0,1,1,0,0,0,0,0,0,0
4,1,1,2,45,0,0,1,0,0,0,0,1,0,0
3,1,0,1,20,0,0,1,0,0,0,0,1,0,0
4,0,1,1,50,0,1,1,0,0,0,0,0,0,0
4,0,1,1,66,0,0,0,0,1,0,0,7,1,0
3,1,0,1,45.54,0,0,0,0,0,1,0,2,0,0
4,0,1,1,55.25,0,1,0,0,0,0,0,0,0,0
1,1,1,1,48.05,0,1,0,0,0,0,0,13,1,0
1,1,1,1,48.05,1,0,0,0,0,0,0,13,1,0
3,0,1,1,19,0,0,1,0,0,0,0,0,1,0
4,0,1,1,60,0,0,0,0,0,1,0,1,0,0
4,1,0,1,45.21,0,0,1,0,0,0,0,0,0,0
4,1,1,1,32,0,1,0,0,0,0,0,0,0,0
3,0,0,1,21,0,0,1,0,0,0,0,1,0,0
3,0,1,1,24,0,0,0,0,1,0,0,3,0,0
1,1,1,1,60,0,0,1,0,0,0,0,20,1,0
1,0,1,1,40,1,0,0,0,0,0,0,1,0,0
1,0,1,1,60,0,1,0,0,0,0,0,2,0,0
1,0,1,1,48.05,0,1,0,0,0,0,0,2,0,0
1,0,1,1,45,0,1,0,0,0,0,0,0,0,0
2,1,1,1,36.22,0,0,1,0,0,0,0,10,0,0
1,1,1,1,20,0,0,1,0,0,0,0,2,1,0
1,1,1,1,20,0,0,1,0,0,0,0,2,0,0
4,1,0,1,55.25,0,0,1,0,0,0,0,4,0,0
2,1,1,1,30,0,0,1,0,0,0,0,2,0,0
4,0,0,1,45.21,0,0,1,0,0,0,0,0,0,0
4,1,0,1,40,0,0,1,0,0,0,0,2,1,0
2,1,1,2,50,0,0,1,0,0,0,0,0,0,0
1,1,1,1,48.05,0,1,0,0,0,0,0,4,1,0
4,1,1,1,33,0,1,0,0,0,0,0,0,0,0
2,0,0,2,18,0,0,1,0,0,0,0,0,0,0
4,0,0,1,55.25,0,1,0,0,0,0,0,1,0,0
2,1,0,1,50,0,0,0,0,0,1,0,1,0,0
4,1,0,2,40,0,0,1,0,0,0,0,2,0,0
4,1,0,2,40,1,0,0,0,0,0,0,2,0,0
4,1,1,2,45,0,0,1,0,0,0,0,1,0,0
4,1,1,1,45,0,0,1,0,0,0,0,1,0,0
4,1,0,1,55.25,0,1,0,0,0,0,0,4,0,0
4,0,0,1,55.25,0,1,0,0,0,0,0,0,0,0
1,1,1,1,30,0,0,1,0,0,0,0,1,1,0
1,1,1,1,48.05,1,0,0,0,0,0,0,13,1,0
1,1,1,1,48.05,0,1,0,0,0,0,0,2,1,0
1,1,1,1,60,0,0,1,0,0,0,0,2,1,0
1,1,1,1,60,0,0,1,0,0,0,0,2,1,0
1,1,1,1,48.05,0,0,1,0,0,0,0,10,1,0
4,1,1,1,55.25,0,0,1,0,0,0,0,2,1,0
4,0,1,1,40,0,0,1,0,0,0,0,0,1,0
2,1,1,1,52.93,0,0,0,0,0,1,0,6,1,0
1,0,1,1,33.48,0,1,0,0,0,0,0,1,1,0
1,0,1,2,65,0,0,1,0,0,0,0,0,1,0
4,1,1,1,32.5,1,0,0,0,0,0,0,2,1,0
4,1,1,2,45.21,0,0,1,0,0,0,0,1,1,0
4,1,1,2,32.5,0,0,0,0,0,0,1,2,1,0
4,1,1,1,50,0,0,1,0,0,0,0,2,1,0
4,0,1,1,40,0,1,0,0,0,0,0,1,1,0
3,1,1,3,60,0,0,0,0,0,1,0,4,1,0
2,0,1,1,40,0,0,1,0,0,0,0,2,1,0
2,1,1,1,50,0,0,1,0,0,0,0,5,1,0
1,1,1,1,100,0,0,1,1,0,0,0,1,1,0
4,1,1,1,40,1,0,0,0,0,0,0,0,1,0
2,1,1,2,52.93,0,1,0,0,0,0,0,6,1,0
4,1,1,1,55.25,0,1,0,0,0,0,0,6,1,0
4,1,0,2,77,0,0,1,0,0,0,0,1,1,0
1,1,1,1,48.05,1,0,0,0,0,0,0,13,1,0
1,0,1,1,40,0,0,1,0,0,0,0,2,1,0
3,1,1,2,45.54,0,0,0,0,0,0,1,7,0,0
1,1,1,1,33.48,0,0,1,0,0,0,0,3,0,0
4,1,1,2,40,0,0,1,0,0,0,0,2,0,0
4,0,1,2,38,0,0,0,0,1,0,0,2,0,0
4,1,1,2,40,0,0,1,0,0,0,0,2,0,0
3,1,1,2,60,0,0,0,0,1,0,0,4,0,0
2,0,0,1,40,0,0,1,0,0,0,0,0,0,0
2,0,0,1,33,0,0,1,0,0,0,0,0,0,0
4,0,1,1,33,0,1,0,0,0,0,0,1,0,0
1,1,1,1,48.05,0,1,0,0,0,0,0,10,0,0
1,1,1,1,40,0,1,0,0,0,0,0,5,1,0
1,1,1,1,35,0,1,0,0,0,0,0,2,1,0
1,0,1,1,48.05,0,1,0,0,0,0,0,3,1,0
4,1,1,1,5,0,1,0,0,0,0,0,0,1,0
1,0,1,1,33.48,0,0,1,0,0,0,0,1,1,0
4,1,1,1,30,0,0,1,0,0,0,0,1,0,0
1,0,0,2,48.05,0,1,0,0,0,0,0,1,0,0
3,1,1,1,50,1,0,0,0,0,0,0,4,0,0
3,1,1,1,50,1,0,0,0,0,0,0,4,0,0
3,1,1,2,64,0,0,0,0,0,1,0,2,0,0
4,1,1,1,89,0,0,1,0,0,0,0,0,0,0
4,1,1,1,120,1,0,0,0,0,0,0,1,0,0
4,1,1,1,45.21,0,0,1,0,0,0,0,2,0,0
4,0,1,1,40,0,0,1,0,0,0,0,2,0,0
1,1,1,1,40,0,0,1,0,0,0,0,3,0,0
3,1,1,2,45.54,0,1,0,0,0,0,0,7,0,0
3,1,1,2,45.54,0,0,0,0,0,0,1,7,0,0
2,1,1,1,52.93,0,0,0,0,0,1,0,3,0,0
1,1,1,1,48.05,1,0,0,0,0,0,0,7,0,0
1,0,1,1,40,0,1,0,0,0,0,0,2,0,0
4,0,1,1,45.21,0,0,1,0,0,0,0,4,0,0
3,1,1,1,40,0,0,0,0,0,1,0,3,0,0
4,1,1,1,120,0,0,0,0,0,1,0,1,0,0
4,0,1,1,52,0,1,0,0,0,0,0,0,0,0
4,0,1,2,44,0,0,0,1,0,0,0,2,0,0
3,1,1,1,39,0,0,0,0,0,1,0,4,0,0
3,1,1,1,40,0,0,0,0,0,1,0,4,0,0
3,1,1,1,39,0,1,0,0,0,0,0,4,0,0
3,1,1,2,45.54,0,0,0,0,1,0,0,7,0,0
4,1,0,1,40,0,0,1,0,0,0,0,2,0,0
4,0,1,1,45.21,0,0,1,0,0,0,0,1,0,0
2,1,1,2,52.93,0,0,0,0,0,1,0,6,0,0
4,0,0,1,42,0,0,1,0,0,0,0,0,0,0
4,0,1,1,42,1,0,0,0,0,0,0,0,0,0
4,0,0,1,55.25,0,1,0,0,0,0,0,1,0,0
2,0,1,2,52.93,1,0,0,0,0,0,0,0,0,0
1,1,1,1,30,0,0,1,0,0,0,0,1,0,0
1,0,0,1,33.48,1,0,0,0,0,0,0,2,0,0
1,0,0,1,33.48,0,0,1,1,0,0,0,2,0,0
4,1,0,1,20,0,0,1,0,0,0,0,3,1,0
4,1,0,1,20,0,0,1,0,0,0,0,3,0,0
2,0,1,1,36.22,0,0,1,0,0,0,0,2,0,0
2,0,1,1,36.22,0,0,1,0,0,0,0,2,0,0
1,1,1,1,44,0,1,0,0,0,0,0,14,1,0
1,1,1,2,48.05,0,0,0,0,0,0,1,14,0,0
1,1,1,1,44,0,0,0,0,1,0,0,14,1,0
1,1,1,1,45,0,0,1,0,0,0,0,14,1,0
1,1,1,1,37,0,0,0,0,0,1,0,20,0,0
4,1,1,1,30,1,0,0,0,0,0,0,0,0,0
1,0,1,1,37,0,1,0,0,0,0,0,0,0,0
1,0,0,1,52,0,0,1,0,0,0,0,2,0,0
1,0,1,1,30,1,0,0,0,0,0,0,4,0,0
4,1,1,1,40,0,1,0,0,0,0,0,2,0,0
3,0,1,1,50,1,0,0,0,0,0,0,3,0,0
1,0,0,1,60,0,0,1,0,0,0,0,0,0,0
1,1,1,1,60,0,0,1,0,0,0,0,20,0,0
1,1,1,1,48.05,0,1,0,0,0,0,0,0,0,0
4,1,1,1,55.25,0,1,0,0,0,0,0,0,0,0
1,0,0,2,50,0,1,0,0,0,0,0,1,0,0
1,0,1,1,48.05,0,1,0,0,0,0,0,0,0,0
1,0,0,1,52,0,1,0,0,0,0,0,2,0,0
1,1,0,1,35,0,0,0,0,1,0,0,5,0,0
1,1,1,1,35,0,1,0,0,0,0,0,2,0,0
3,1,1,1,40,0,0,0,0,0,1,0,3,0,0
4,1,0,2,55.25,0,1,0,0,0,0,0,3,0,0
4,0,0,2,55.25,0,1,0,0,0,0,0,3,0,0
1,1,0,1,42,0,1,0,0,0,0,0,1,0,0
4,1,0,2,55.25,0,1,0,0,0,0,0,2,0,0
4,1,1,1,40,0,0,1,0,0,0,0,1,0,0
4,0,0,1,40,0,0,1,0,0,0,0,1,0,0
4,0,0,1,40,0,0,1,0,0,0,0,1,0,0
4,0,0,1,50,0,0,1,0,0,0,0,1,0,0
2,0,0,1,36.22,0,0,1,0,0,0,0,1,0,0
2,1,0,1,36.22,0,0,1,0,0,0,0,1,0,0
2,1,0,1,36.22,0,0,0,1,0,0,0,1,0,0
1,1,0,2,33.48,0,0,1,0,0,0,0,1,0,0
4,0,0,1,40,0,0,1,0,0,0,0,2,1,0
4,1,1,1,45,0,0,1,0,0,0,0,1,1,0
1,1,1,2,60,0,1,0,0,0,0,0,6,1,0
1,1,1,2,60,0,1,0,0,0,0,0,6,1,0
4,1,1,2,50,0,1,0,0,0,0,0,1,1,0
1,1,1,1,48.05,0,1,0,0,0,0,0,13,1,0
1,1,1,2,60,0,1,0,0,0,0,0,7,1,0
2,1,1,1,45,0,0,1,0,0,0,0,1,1,0
4,1,0,1,45.21,0,1,0,0,0,0,0,2,0,0
4,1,0,1,45,0,0,1,0,0,0,0,1,0,0
4,0,0,1,45.21,0,1,0,0,0,0,0,1,0,0
4,1,0,1,45.21,0,1,0,0,0,0,0,2,0,0
4,1,0,1,45.21,0,1,0,0,0,0,0,2,0,0
4,0,1,1,55.25,0,1,0,0,0,0,0,1,1,0
2,0,1,1,36.22,1,0,0,0,0,0,0,2,1,0
2,1,1,1,36.22,0,0,1,0,0,0,0,2,1,0
4,0,1,1,62,0,1,0,0,0,0,0,3,0,0
4,0,1,1,25,0,1,0,0,0,0,0,3,0,0
1,0,0,2,33.48,0,1,0,0,0,0,0,1,1,0
4,0,0,1,17,0,0,0,1,0,0,0,4,1,0
1,1,1,1,70,0,0,0,1,0,0,0,3,0,0