Airfare,GroupTravel,NoTransport,PleasureTrip,Destination2,Destination3,Destination4,DepartureTime2,DepartureTime3,DepartureTime4,Income2,Income3,Income4,Income5,Income6,Income7,Income8,airline
70,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2
70,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2
23,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
67,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
30,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
89,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4
55.25,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4
86,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4
36.22,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2
87,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
70,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
50,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
24,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4
20,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,4
20,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,4
36.22,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2
40,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
35,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2
52.93,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
52.93,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2
37,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
50,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
50,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2
50,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2
70,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
35,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2
33.48,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
30,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
36.22,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2
90,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
40,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
78,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
40,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2
42,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
42,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
33.48,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
48.05,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
33.48,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
40,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
36.22,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2
64,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
58,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
36.22,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2
33.48,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
100,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
30,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3
50,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
34,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
55.25,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
30,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
30,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
60,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4
45.9,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
35,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4
55.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
35,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4
53,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4
40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
11,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4
50,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
45,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,4
20,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
50,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4
66,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4
45.54,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3
55.25,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
48.05,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
48.05,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
60,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,4
45.21,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4
32,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4
21,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
24,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
60,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
40,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
60,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
48.05,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
45,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
36.22,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2
20,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
20,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
55.25,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4
30,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2
45.21,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4
40,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4
50,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
48.05,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
33,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,4
18,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2
55.25,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4
50,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
40,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4
40,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4
45,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4
45,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4
55.25,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
55.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
30,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
48.05,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
48.05,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
60,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
60,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
48.05,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
55.25,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4
40,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4
52.93,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2
33.48,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
65,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
32.5,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,4
45.21,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,4
32.5,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,4
50,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,4
40,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4
60,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
40,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
50,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2
100,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
40,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4
52.93,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
55.25,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4
77,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4
48.05,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
40,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
45.54,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
33.48,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
40,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,4
38,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4
40,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,4
60,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
40,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2
33,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
33,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4
48.05,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
40,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
35,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
48.05,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
5,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4
33.48,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
30,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4
48.05,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
50,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
50,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
64,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3
89,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4
120,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4
45.21,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4
40,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4
40,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
45.54,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
45.54,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
52.93,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
48.05,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
40,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
45.21,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4
40,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
120,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4
52,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
44,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
39,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3
40,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3
39,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
45.54,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
40,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4
45.21,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4
52.93,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2
42,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4
42,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4
55.25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
52.93,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
30,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
33.48,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
33.48,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
20,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4
20,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4
36.22,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2
36.22,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2
44,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
48.05,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
44,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
45,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
37,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
30,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,4
37,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
52,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
30,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
40,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4
50,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3
60,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
60,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
48.05,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
55.25,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4
50,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
48.05,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
52,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
35,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
35,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
40,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3
55.25,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
55.25,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
42,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
55.25,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4
40,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4
40,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4
40,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4
50,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4
36.22,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2
36.22,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2
36.22,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2
33.48,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
40,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4
45,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,4
60,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
60,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
50,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,4
48.05,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
60,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
45,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2
45.21,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4
45,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4
45.21,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4
45.21,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4
45.21,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4
55.25,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4
36.22,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2
36.22,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2
62,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
25,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
33.48,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
17,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4
70,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1